Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HomeTeam_Wins,HomeTeam_Draws,HomeTeam_Losses,HomeTeam_AvgGoalsScored,HomeTeam_AvgGoalsConceded,HomeTeam_AvgShots,HomeTeam_AvgShotsConceded,HomeTeam_AvgCorners,HomeTeam_AvgCornersConceded,HomeTeam_AvgFouls,HomeTeam_PrevSeasonRank,AwayTeam_Wins,AwayTeam_Draws,AwayTeam_Losses,AwayTeam_AvgGoalsScored,AwayTeam_AvgGoalsConceded,AwayTeam_AvgShots,AwayTeam_AvgShotsConceded,AwayTeam_AvgCorners,AwayTeam_AvgCornersConceded,AwayTeam_AvgFouls,AwayTeam_PrevSeasonRank
06/09/2000,Charlton,Southampton,1,1,D,0,0,D,Mark Halsey,8,11,6,3,10,14,14,16,3,3,1,0,1,0,2,2.33,2.67,10.67,10.67,4.67,5.67,14.33,0,0,2,1,2.0,2.33,13.0,7.33,7.0,3.67,12.67,0
06/09/2000,Chelsea,Arsenal,2,2,D,1,0,H,Mike Riley,12,13,5,5,7,6,16,22,3,1,0,0,1,1,1,1.67,1.67,14.0,14.0,7.0,6.67,15.67,0,2,0,1,2.33,1.33,16.33,7.33,9.0,5.33,19.33,0
06/09/2000,Coventry,Newcastle,0,2,A,0,1,A,Alan Wiley,13,13,3,6,6,8,11,18,1,1,0,0,2,0,1,1.67,1.67,7.33,7.33,6.0,5.0,15.67,0,2,0,1,1.67,1.33,11.0,13.0,4.67,5.0,16.33,0
06/09/2000,Derby,Middlesbrough,3,3,D,0,1,A,Rob Styles,9,5,5,4,11,5,8,10,3,2,0,0,0,2,1,2.0,2.33,7.67,7.67,4.33,9.33,10.33,0,1,1,1,1.67,1.33,14.33,11.0,4.33,7.0,14.0,0
06/09/2000,Leicester,Ipswich,2,1,H,0,0,D,Paul Taylor,12,7,6,3,6,2,12,13,1,1,0,0,1,2,0,0.33,0.0,7.33,7.33,6.0,7.0,12.67,0,1,1,1,1.0,1.33,14.0,14.67,5.0,5.0,11.0,0
06/09/2000,Liverpool,Aston Villa,3,1,H,3,0,H,Neale Barry,11,9,7,4,8,7,13,7,0,2,0,0,1,1,1,1.33,1.67,10.67,10.67,6.0,6.0,11.33,0,0,2,0,0.5,0.5,8.5,8.0,5.5,7.5,12.5,0
09/09/2000,Bradford,Arsenal,1,1,D,1,0,H,Alan Wiley,9,18,5,11,4,10,17,13,0,2,0,0,1,1,2,0.5,1.75,7.25,7.25,3.5,5.75,10.75,0,2,1,1,2.25,1.5,15.5,8.5,8.25,5.75,20.0,0
09/09/2000,Coventry,Leeds,0,0,D,0,0,D,Paul Durkin,9,11,1,5,6,6,15,14,2,2,0,0,2,0,2,1.25,1.75,8.75,8.75,6.0,5.75,14.5,0,2,0,1,1.67,1.0,13.0,11.67,7.67,4.0,19.67,0
09/09/2000,Ipswich,Aston Villa,1,2,A,0,1,A,Andy D'Urso,15,5,5,2,5,3,9,13,1,3,0,0,1,1,2,1.0,1.5,12.25,12.25,4.25,5.25,11.5,0,0,2,1,0.67,1.33,8.67,9.0,6.0,7.67,10.67,0
09/09/2000,Leicester,Southampton,1,0,H,0,0,D,Mike Dean,17,9,6,5,10,6,6,9,0,0,0,0,2,2,0,0.75,0.25,8.5,8.5,6.0,5.75,12.5,0,0,3,1,1.75,2.0,12.5,7.5,8.75,5.25,13.5,0
09/09/2000,Liverpool,Man City,3,2,H,1,0,H,Graham Barber,14,9,8,7,9,4,17,17,3,4,0,0,2,1,1,1.75,1.5,10.75,10.75,6.5,6.25,11.75,0,2,0,2,1.75,2.25,11.25,10.25,5.5,5.75,16.75,0
09/09/2000,Man United,Sunderland,3,0,H,1,0,H,Neale Barry,15,5,7,1,4,4,18,14,1,3,0,0,2,2,0,2.75,0.75,15.75,15.75,5.75,3.25,8.75,0,1,1,2,1.0,1.5,10.75,14.75,3.75,8.5,13.75,0
09/09/2000,Middlesbrough,Everton,1,2,A,1,0,H,Steve Bennett,9,12,5,9,7,7,16,5,3,0,0,0,1,2,1,2.0,1.75,12.0,12.0,4.5,8.0,13.0,0,1,1,2,1.75,1.75,12.0,10.75,5.75,5.0,14.5,0
09/09/2000,Newcastle,Chelsea,0,0,D,0,0,D,Graham Poll,10,10,4,3,5,6,17,21,0,3,0,0,3,0,1,1.75,1.0,11.5,11.5,5.5,5.25,16.75,0,1,2,1,1.75,1.75,13.5,12.25,7.0,6.5,15.75,0
10/09/2000,Derby,Charlton,2,2,D,2,0,H,Peter Jones,12,10,6,6,4,11,17,12,3,1,0,0,0,3,1,2.25,2.5,8.0,8.0,6.0,8.25,9.75,0,1,1,2,2.0,2.25,10.0,12.5,6.0,7.75,14.25,0
11/09/2000,Tottenham,West Ham,1,0,H,0,0,D,Steve Dunn,15,11,7,5,11,3,14,13,1,2,0,0,2,1,1,1.75,1.5,13.0,13.0,4.25,4.5,13.25,0,0,2,2,1.25,2.0,15.5,11.5,9.0,5.25,14.0,0
16/09/2000,Arsenal,Coventry,2,1,H,1,0,H,Mike Dean,18,6,13,2,8,4,5,13,1,2,0,0,2,2,1,2.0,1.4,16.0,16.0,8.6,5.4,18.6,0,2,1,2,1.0,1.4,8.8,13.2,6.0,5.8,14.6,0
16/09/2000,Aston Villa,Bradford,2,0,H,1,0,H,Rob Styles,12,8,7,4,5,6,8,12,0,2,0,0,1,2,1,1.0,1.25,7.75,7.75,5.25,7.0,11.25,0,1,2,2,0.6,1.6,7.6,16.4,3.6,6.6,12.0,0
16/09/2000,Charlton,Tottenham,1,0,H,1,0,H,Jeff Winter,9,10,5,5,7,5,8,10,0,0,0,0,1,2,2,2.0,2.2,10.0,10.0,7.0,7.0,13.8,0,3,1,1,1.6,1.2,13.4,12.8,5.6,4.2,13.4,0
16/09/2000,Everton,Man United,1,3,A,0,3,A,Dermot Gallagher,6,17,4,9,6,5,10,11,4,1,0,0,2,1,2,1.8,1.6,12.0,12.0,6.0,5.4,12.6,0,3,2,0,2.8,0.6,15.6,10.0,5.4,3.4,10.6,0
