year,team_name,total_market_value_millions,average_market_value_millions,number_of_players
2004,Southampton,85.47,2.08,41
2004,Tottenham,129.45,3.41,38
2004,Watford,8.18,0.21,39
2004,West Bromwich,50.4,1.57,32
2004,West Ham,41.15,1.0,41
2004,Wolverhampton,37.88,1.11,34
2005,Arsenal,232.33,6.28,37
2005,Aston Villa,89.6,2.89,31
2005,Bournemouth,1.62,0.05,33
2005,Brentford,5.15,0.16,33
2005,Brighton,5.5,0.16,35
2005,Burnley,14.6,0.47,31
2005,Chelsea,363.43,12.11,30
2005,Crystal Palace,40.02,1.25,32
2005,Everton,92.92,3.0,31
2005,Fulham,70.88,2.15,33
2005,Liverpool,216.35,5.85,37
2005,Leeds United,32.05,0.92,35
2005,Leicester City,23.8,0.64,37
2005,Luton Town,11.12,0.37,30
2005,Manchester City,91.9,2.87,32
2005,Manchester United,254.57,7.49,34
2005,Newcastle,150.48,4.7,32
2005,Norwich City,46.7,1.37,34
2005,Nottingham Forest,11.9,0.35,34
2005,Sheffield United,31.4,0.68,46
2005,Southampton,61.62,1.31,47
2005,Tottenham,154.32,4.82,32
2005,Watford,17.27,0.43,40
2005,West Bromwich,65.55,2.05,32
2005,West Ham,62.55,1.9,33
2005,Wolverhampton,57.6,1.56,37
2006,Arsenal,278.18,7.32,38
2006,Aston Villa,109.5,3.22,34
2006,Bournemouth,3.18,0.08,42
2006,Brentford,4.17,0.11,37
2006,Brighton,7.8,0.18,43
2006,Burnley,24.38,0.9,27
2006,Chelsea,416.75,11.26,37
2006,Crystal Palace,30.43,0.87,35
2006,Everton,109.45,3.77,29
2006,Fulham,84.67,2.29,37
2006,Liverpool,239.77,6.31,38
2006,Leeds United,42.58,0.91,47
2006,Leicester City,22.2,0.6,37
2006,Luton Town,12.4,0.34,37
2006,Manchester City,89.25,2.62,34
2006,Manchester United,259.15,6.82,38
2006,Newcastle,146.55,4.19,35
2006,Norwich City,26.43,0.64,41
2006,Nottingham Forest,9.68,0.26,37
2006,Sheffield United,43.37,1.01,43
2006,Southampton,40.48,1.26,32
2006,Tottenham,165.73,4.36,38
2006,Watford,32.97,0.77,43
2006,West Bromwich,58.35,1.67,35
2006,West Ham,105.45,3.01,35
2006,Wolverhampton,34.95,0.81,43
2007,Arsenal,262.4,7.5,35
2007,Aston Villa,112.1,4.48,25
2007,Bournemouth,3.65,0.09,39
2007,Brentford,2.65,0.07,38
2007,Brighton,6.42,0.18,35
2007,Burnley,32.05,1.03,31
2007,Chelsea,434.35,11.14,39
2007,Crystal Palace,27.18,0.6,45
2007,Everton,155.3,4.85,32
2007,Fulham,99.05,2.3,43
2007,Liverpool,305.65,7.45,41
2007,Leeds United,24.75,0.59,42
2007,Leicester City,33.66,0.7,48
2007,Luton Town,11.22,0.3,37
2007,Manchester City,150.1,4.17,36
2007,Manchester United,354.55,9.33,38
2007,Newcastle,135.2,4.1,33
2007,Norwich City,24.5,0.56,44
2007,Nottingham Forest,9.05,0.27,33
2007,Sheffield United,55.56,1.32,42
2007,Southampton,44.3,1.05,42
2007,Tottenham,220.5,5.8,38
2007,Watford,36.76,0.9,41
2007,West Bromwich,61.13,1.85,33
2007,West Ham,120.0,3.33,36
2007,Wolverhampton,31.0,0.76,41
2008,Arsenal,311.45,7.6,41
2008,Aston Villa,157.35,4.5,35
2008,Bournemouth,2.58,0.07,39
2008,Brentford,4.78,0.12,39
2008,Brighton,12.82,0.27,48
2008,Burnley,25.8,1.03,25
2008,Chelsea,448.55,13.59,33
2008,Crystal Palace,30.9,0.81,38
2008,Everton,190.32,5.95,32
2008,Fulham,83.85,2.21,38
2008,Liverpool,342.85,10.39,33
2008,Leeds United,17.48,0.51,34
2008,Leicester City,19.25,0.47,41
2008,Luton Town,6.9,0.17,41
2008,Manchester City,258.35,6.62,39
2008,Manchester United,425.95,10.14,42
2008,Newcastle,134.55,3.54,38
2008,Norwich City,28.0,0.7,40
2008,Nottingham Forest,25.12,0.6,42
2008,Sheffield United,40.2,0.93,43
2008,Southampton,23.68,0.55,43
2008,Tottenham,278.8,6.48,43
2008,Watford,25.43,0.57,45
2008,West Bromwich,66.1,1.89,35
2008,West Ham,133.9,3.35,40
2008,Wolverhampton,49.8,1.28,39
2009,Arsenal,314.3,6.98,45
2009,Aston Villa,167.38,5.4,31
2009,Bournemouth,3.68,0.13,29
2009,Brentford,7.45,0.2,37
2009,Brighton,12.12,0.27,45
2009,Burnley,48.15,1.46,33
2009,Chelsea,451.95,12.55,36
2009,Crystal Palace,20.43,0.62,33
2009,Everton,218.93,5.21,42
2009,Fulham,101.17,2.47,41
2009,Liverpool,331.55,9.75,34
2009,Leeds United,22.86,0.56,41
2009,Leicester City,27.07,0.71,38
2009,Luton Town,3.3,0.08,39
2009,Manchester City,312.5,7.81,40
2009,Manchester United,384.88,9.62,40
2009,Newcastle,82.08,1.87,44
2009,Norwich City,20.23,0.48,42
2009,Nottingham Forest,35.7,1.08,33
2009,Sheffield United,43.16,0.94,46
2009,Southampton,18.23,0.48,38
2009,Tottenham,263.52,6.43,41
2009,Watford,23.05,0.54,43
2009,West Bromwich,70.72,1.47,48
2009,West Ham,121.75,3.48,35
2009,Wolverhampton,65.47,1.77,37
2010,Arsenal,324.0,9.53,34
2010,Aston Villa,202.8,5.2,39
2010,Bournemouth,5.55,0.16,35
2010,Brentford,9.97,0.24,42
2010,Brighton,7.65,0.21,37
2010,Burnley,41.8,1.1,38
2010,Chelsea,424.1,12.85,33
2010,Crystal Palace,23.12,0.56,41
2010,Everton,184.47,5.76,32
2010,Fulham,109.55,3.22,34
2010,Liverpool,339.2,8.08,42
2010,Leeds United,33.48,0.76,44
2010,Leicester City,60.48,1.19,51
2010,Luton Town,3.12,0.08,37
2010,Manchester City,404.18,8.98,45
2010,Manchester United,388.0,9.02,43
2010,Newcastle,119.47,3.14,38
2010,Norwich City,21.3,0.56,38
2010,Nottingham Forest,42.2,1.21,35
2010,Sheffield United,34.23,0.65,53
2010,Southampton,18.2,0.47,39
2010,Tottenham,307.07,8.08,38
2010,Watford,16.4,0.41,40
2010,West Bromwich,86.88,2.35,37
2010,West Ham,138.75,3.47,40
2010,Wolverhampton,83.55,1.99,42
2011,Arsenal,362.43,8.05,45
2011,Aston Villa,123.5,3.34,37
2011,Bournemouth,7.58,0.16,46
2011,Brentford,7.42,0.18,42
2011,Brighton,20.1,0.48,42
2011,Burnley,31.02,0.82,38
2011,Chelsea,375.5,11.73,32
2011,Crystal Palace,26.12,0.57,46
