year,team_name,total_age_years,average_age_years,number_of_players
2019,Sheffield United,566,24.61,23
2019,Southampton,698,25.85,27
2019,Tottenham,640,24.62,26
2019,Watford,717,23.13,31
2019,West Bromwich,485,22.05,22
2019,West Ham,695,23.97,29
2019,Wolverhampton,809,23.11,35
2020,Arsenal,648,28.17,23
2020,Aston Villa,562,28.1,20
2020,Bournemouth,548,26.1,21
2020,Brentford,781,27.89,28
2020,Brighton,632,27.48,23
2020,Burnley,548,30.44,18
2020,Chelsea,507,24.14,21
2020,Crystal Palace,628,29.9,21
2020,Everton,568,25.82,22
2020,Fulham,501,25.05,20
2020,Liverpool,295,22.69,13
2020,Leeds United,635,28.86,22
2020,Leicester City,504,28.0,18
2020,Luton Town,636,25.44,25
2020,Manchester City,350,25.0,14
2020,Manchester United,572,27.24,21
2020,Newcastle,436,25.65,17
2020,Norwich City,676,27.04,25
2020,Nottingham Forest,594,27.0,22
2020,Sheffield United,683,27.32,25
2020,Southampton,605,30.25,20
2020,Tottenham,544,28.63,19
2020,Watford,790,28.21,28
2020,West Bromwich,671,26.84,25
2020,West Ham,685,28.54,24
2020,Wolverhampton,523,26.15,20
2021,Arsenal,469,26.06,18
2021,Aston Villa,707,29.46,24
2021,Bournemouth,738,25.45,29
2021,Brentford,558,23.25,24
2021,Brighton,549,26.14,21
2021,Burnley,475,21.59,22
2021,Chelsea,679,22.63,30
2021,Crystal Palace,416,23.11,18
2021,Everton,524,26.2,20
2021,Fulham,602,24.08,25
2021,Liverpool,299,24.92,12
2021,Leeds United,534,29.67,18
2021,Leicester City,659,24.41,27
2021,Luton Town,614,23.62,26
2021,Manchester City,309,25.75,12
2021,Manchester United,751,25.9,29
2021,Newcastle,491,24.55,20
2021,Norwich City,788,23.18,34
2021,Nottingham Forest,736,23.0,32
2021,Sheffield United,820,28.28,29
2021,Southampton,508,28.22,18
2021,Tottenham,572,28.6,20
2021,Watford,833,24.5,34
2021,West Bromwich,621,23.0,27
2021,West Ham,427,28.47,15
2021,Wolverhampton,460,25.56,18
2022,Arsenal,642,22.14,29
2022,Aston Villa,759,24.48,31
2022,Bournemouth,760,23.03,33
2022,Brentford,559,23.29,24
2022,Brighton,609,27.68,22
2022,Burnley,647,23.11,28
2022,Chelsea,695,23.97,29
2022,Crystal Palace,634,23.48,27
2022,Everton,661,24.48,27
2022,Fulham,777,23.55,33
2022,Liverpool,367,26.21,14
2022,Leeds United,788,23.88,33
2022,Leicester City,617,24.68,25
2022,Luton Town,837,24.62,34
2022,Manchester City,496,22.55,22
2022,Manchester United,766,25.53,30
